Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property First Seen,Property Last Seen
User Property,[6sense] City,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Company Name,,string,LIVE,2022-08-30,2025-06-07
User Property,[6sense] Country,,,UNEXPECTED,2022-08-30,2025-06-07
User Property,[6sense] Domain,,,UNEXPECTED,2022-08-30,2025-06-07
User Property,[6sense] Employee Count,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Employee Range,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Industry,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Intent Score,,,UNEXPECTED,2022-08-30,2025-06-07
User Property,[6sense] Naics,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Naics Description,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Profile Fit,,,UNEXPECTED,2022-08-30,2025-06-07
User Property,[6sense] Region,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Revenue Range,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Segments,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Sic,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] Sic Description,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[6sense] State,,,UNEXPECTED,2022-08-31,2025-06-07
User Property,[Amplitude] [Flag] form-membership-flow,,any,LIVE,2020-10-30,2025-06-07
User Property,[Experiment] ampl-web-experiment-11-8,,,UNEXPECTED,2024-11-13,2025-05-16
User Property,[Experiment] amplitude-analytics-cta-test,,,UNEXPECTED,2023-08-02,2025-06-07
User Property,[Experiment] careers-page-test,,,UNEXPECTED,2024-04-16,2025-06-07
User Property,[Experiment] corp-site-nav-signup-cta,,,UNEXPECTED,2023-07-11,2025-06-07
User Property,[Experiment] corpsite-header-navigation-hover-style,,,UNEXPECTED,2024-02-16,2025-06-07
User Property,[Experiment] corpsite-header-test,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] corpsite-xss-test,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] current,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] Dummies-Autofill-Short-Form-Jan-2024,,,UNEXPECTED,2024-02-02,2025-06-06
User Property,[Experiment] enable-article-sidebar,,,UNEXPECTED,2025-01-21,2025-06-07
User Property,[Experiment] enable-google-one-tap-corpsite,,,UNEXPECTED,2025-01-09,2025-06-07
User Property,[Experiment] feature-exp-product-page_10292024,,,UNEXPECTED,2024-11-13,2025-06-07
User Property,[Experiment] free_trial_widget,,,UNEXPECTED,2025-02-19,2025-04-24
User Property,[Experiment] g-and-s-contact-sales-image-css-override,,,UNEXPECTED,2025-02-10,2025-06-07
User Property,[Experiment] get-started-copy,,,UNEXPECTED,2023-10-06,2025-06-06
User Property,[Experiment] get-started-header,,,UNEXPECTED,2023-08-31,2025-06-07
User Property,[Experiment] get-started-nov-24-rehaul,,,UNEXPECTED,2024-10-28,2025-06-07
User Property,[Experiment] get-started-on-blog-sticky-nav,,,UNEXPECTED,2025-01-09,2025-06-07
User Property,[Experiment] get-started-page--social-proof--trust-badges-2025-05-06,,,UNEXPECTED,2025-05-06,2025-06-07
User Property,[Experiment] get-started-page-cta-optimization-2025-04-22,,,UNEXPECTED,2025-04-22,2025-06-05
User Property,[Experiment] get-started-sept-24-overhaul,,,UNEXPECTED,2024-10-03,2025-06-07
User Property,[Experiment] hero-value-prop-split-test-variant-1-2025-05-22,,,UNEXPECTED,2025-05-30,2025-05-30
User Property,[Experiment] homepage-exp,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] homepage-exp-2-aug-2024,,,UNEXPECTED,2024-08-13,2025-06-07
User Property,[Experiment] homepage-gamified-cta--social-proof-2025-04-22,,,UNEXPECTED,2025-04-22,2025-04-22
User Property,[Experiment] homepage-h1-copy-test-april-2024,,,UNEXPECTED,2024-04-02,2025-06-07
User Property,[Experiment] homepage-h2-get-started-cta-test-apr-2024,,,UNEXPECTED,2024-04-23,2025-06-07
User Property,[Experiment] homepage-light-theme,,,UNEXPECTED,2023-08-24,2025-06-07
User Property,[Experiment] homepage-refresh-may-2024,,,UNEXPECTED,2024-05-01,2025-06-07
User Property,[Experiment] internal-links-v2,,,UNEXPECTED,2025-02-26,2025-06-07
User Property,[Experiment] jeffrey-test,,,UNEXPECTED,2025-04-16,2025-05-11
User Property,[Experiment] lbm-hackathon,,,UNEXPECTED,2024-12-09,2025-05-06
User Property,[Experiment] lbm-hackathon-tim-test,,,UNEXPECTED,2024-12-09,2025-04-14
User Property,[Experiment] navbar-exp,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] new-org-activation-form,,any,LIVE,2021-07-21,2025-06-07
User Property,[Experiment] new-org-activation-short-form,,any,LIVE,2021-07-16,2025-06-04
User Property,[Experiment] personalization-at-scale-lead-form--value-prop--social-proof-2025-04-22,,,UNEXPECTED,2025-04-22,2025-05-06
User Property,[Experiment] pricing-page,,any,LIVE,2021-09-30,2025-06-06
User Property,[Experiment] pricing-page-enterprise-plan-card,,,UNEXPECTED,2024-09-17,2025-06-07
User Property,[Experiment] pricing-page-hero-cta-enhancement-2025-06-06,,,UNEXPECTED,2025-06-06,2025-06-06
User Property,[Experiment] pricing-page-pricing-slider-test-june-2024,,,UNEXPECTED,2024-06-05,2025-06-07
User Property,[Experiment] pricing-page-v2,,any,LIVE,2021-12-14,2025-06-07
User Property,[Experiment] pricing-startups-layout,,,UNEXPECTED,2024-04-03,2025-06-07
User Property,[Experiment] q125-abx-solution-data-page-campaign-cta,,,UNEXPECTED,2025-01-29,2025-06-07
User Property,[Experiment] q125-blog-conversion-drivers-sidepanel-cta,,,UNEXPECTED,2025-02-19,2025-06-07
User Property,[Experiment] q125-corpsite-ai-chatgpt,,,UNEXPECTED,2025-04-23,2025-04-23
User Property,[Experiment] q125-corpsite-ai-chatgpt-traffic-referrer-butter-bar-content,,,UNEXPECTED,2025-03-11,2025-05-20
User Property,[Experiment] q125-getting-started-dynamic-copy,,,UNEXPECTED,2025-03-03,2025-06-07
User Property,[Experiment] q125-interactive-product-tour-copriste-homepage-explore-the-demo-cta,,,UNEXPECTED,2025-02-24,2025-06-07
User Property,[Experiment] q125-pricing-50k-to-10k-mtu-content,,,UNEXPECTED,2025-03-03,2025-06-07
